7590-VHVEG,Female,0,Yes,No,1,0-12,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.8500003814697,29.8500003814697,No,0
5575-GNVDE,Male,0,No,No,34,25-48,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.9500007629395,1889.5,No,0
3668-QPYBK,Male,0,No,No,2,0-12,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.8499984741211,108.150001525879,Yes,1
7795-CFOCW,Male,0,No,No,45,25-48,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.2999992370605,1840.75,No,0
9237-HQITU,Female,0,No,No,2,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.6999969482422,151.649993896484,Yes,1
9305-CDSKC,Female,0,No,No,8,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.6500015258789,820.5,Yes,1
1452-KIOVK,Male,0,No,Yes,22,12-24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.0999984741211,1949.40002441406,No,0
6713-OKOMC,Female,0,No,No,10,0-12,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.899993896484,No,0
7892-POOKP,Female,0,Yes,No,28,25-48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.800003051758,3046.05004882813,Yes,1
6388-TABGU,Male,0,No,Yes,62,60+,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.1500015258789,3487.94995117188,No,0
9763-GRSKD,Male,0,Yes,Yes,13,12-24,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.9500007629395,587.450012207031,No,0
7469-LKBCI,Male,0,No,No,16,12-24,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.9500007629395,326.799987792969,No,0
8091-TTVAX,Male,0,Yes,No,58,49-60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.349998474121,5681.10009765625,No,0
0280-XJGEX,Male,0,No,No,49,49-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.699996948242,5036.2998046875,Yes,1
5129-JLPIS,Male,0,No,No,25,25-48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05004882813,No,0
3655-SNQYZ,Female,0,Yes,Yes,69,60+,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.14990234375,No,0
8191-XWSZG,Female,0,No,No,52,49-60,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.6499996185303,1022.95001220703,No,0
9959-WOFKT,Male,0,No,Yes,71,60+,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.699996948242,7382.25,No,0
4190-MFLUW,Female,0,Yes,Yes,10,0-12,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2000007629395,528.349975585938,Yes,1
4183-MYFRB,Female,0,No,No,21,12-24,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.0500030517578,1862.90002441406,No,0
8779-QRDMV,Male,1,No,No,1,0-12,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.6500015258789,39.6500015258789,Yes,1
1680-VDCWW,Male,0,Yes,No,12,12-24,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.7999992370605,202.25,No,0
1066-JKSGK,Male,0,No,No,1,0-12,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.1499996185303,20.1499996185303,Yes,1
3638-WEABW,Female,0,Yes,No,58,49-60,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9000015258789,3505.10009765625,No,0
6322-HRPFA,Male,0,Yes,Yes,49,49-60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.5999984741211,2970.30004882813,No,0
6865-JZNKO,Female,0,No,No,30,25-48,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.2999992370605,1530.59997558594,No,0
6467-CHFZW,Male,0,Yes,Yes,47,25-48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.3499984741211,4749.14990234375,Yes,1
8665-UTDHZ,Male,0,Yes,Yes,1,0-12,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2000007629395,30.2000007629395,Yes,1
